cliente_id,plano,contrato,forma_pagamento,canal_aquisicao,tempo_cliente_meses,receita_mensal,desconto_pct,horas_uso_semana,queda_uso_30d_pct,dias_sem_acesso,nota_satisfacao,chamados_90d,falhas_pagamento_90d,reajuste_recente,cancelou_60d
CLI00075,Essencial,Mensal,Cartão,Indicação,41,47.4,5,2.2,35.4,10,9,0,1,1,0
CLI00076,Essencial,Anual,Pix,Mídia paga,42,49.9,0,4.1,46.5,8,6,2,0,0,0
CLI00077,Essencial,Mensal,Débito automático,Mídia paga,54,47.4,5,4.9,30.8,8,8,0,1,0,0
CLI00078,Plus,Anual,Cartão,Mídia paga,13,63.92,20,2.5,24.2,7,8,1,1,0,0
CLI00079,Plus,Mensal,Pix,Indicação,16,75.9,5,3.9,30.8,10,6,1,1,0,0
CLI00080,Plus,Mensal,Pix,Busca orgânica,55,67.92,15,6.6,6.0,4,6,0,1,0,0
CLI00081,Plus,Anual,Pix,Mídia paga,6,71.91,10,3.9,11.2,5,4,2,1,0,0
CLI00082,Essencial,Anual,Boleto,Indicação,11,47.4,5,4.0,40.4,8,5,3,1,0,1
CLI00083,Plus,Mensal,Pix,Busca orgânica,40,79.9,0,3.9,47.5,8,6,2,0,0,0
CLI00084,Essencial,Anual,Cartão,Mídia paga,18,49.9,0,7.7,37.2,9,1,3,1,1,0
CLI00085,Essencial,Anual,Cartão,Mídia paga,20,49.9,0,3.8,34.7,5,6,1,0,1,0
CLI00086,Essencial,Anual,Pix,Indicação,2,49.9,0,1.8,38.8,8,6,0,0,0,0
CLI00087,Plus,Mensal,Cartão,Busca orgânica,68,67.92,15,5.1,12.6,6,10,1,0,0,0
CLI00088,Plus,Mensal,Débito automático,Mídia paga,19,79.9,0,3.4,6.4,4,9,2,0,0,0
CLI00089,Essencial,Mensal,Cartão,Indicação,39,42.42,15,3.4,33.5,6,8,1,0,0,0
CLI00090,Plus,Mensal,Cartão,Busca orgânica,56,75.9,5,8.7,22.1,7,4,0,0,0,0
CLI00091,Essencial,Mensal,Cartão,Busca orgânica,20,44.91,10,2.4,12.3,5,8,1,0,1,0
CLI00092,Plus,Mensal,Débito automático,Indicação,3,79.9,0,3.9,49.8,9,8,0,0,0,1
CLI00093,Essencial,Mensal,Débito automático,Busca orgânica,39,44.91,10,0.7,26.2,8,5,1,0,0,0
CLI00094,Essencial,Mensal,Pix,Parceiro,69,49.9,0,3.6,58.2,8,7,1,1,0,0
CLI00095,Essencial,Mensal,Cartão,Busca orgânica,45,47.4,5,2.5,53.7,15,4,2,1,0,0
CLI00096,Plus,Mensal,Boleto,Busca orgânica,34,79.9,0,7.3,9.1,12,6,0,1,1,0
CLI00097,Essencial,Mensal,Débito automático,Busca orgânica,44,42.42,15,1.5,52.0,6,6,1,0,1,0
CLI00098,Essencial,Mensal,Cartão,Busca orgânica,49,44.91,10,4.5,8.3,4,6,0,0,1,0
CLI00099,Essencial,Anual,Débito automático,Busca orgânica,24,47.4,5,4.3,10.4,5,6,0,0,0,0
CLI00100,Premium,Mensal,Boleto,Mídia paga,71,119.9,0,6.8,23.1,8,8,0,1,0,0
CLI00101,Premium,Mensal,Cartão,Mídia paga,29,113.9,5,14.8,32.7,12,7,0,0,0,0
CLI00102,Plus,Mensal,Cartão,Busca orgânica,51,79.9,0,14.8,19.2,3,6,1,0,0,1
CLI00103,Essencial,Mensal,Pix,Busca orgânica,11,47.4,5,6.1,43.7,7,7,2,1,0,1
CLI00104,Premium,Mensal,Cartão,Busca orgânica,25,119.9,0,1.1,32.1,8,5,1,0,1,0
CLI00105,Plus,Mensal,Débito automático,Busca orgânica,13,67.92,15,2.8,22.4,6,5,1,2,0,1
CLI00106,Plus,Anual,Pix,Busca orgânica,36,79.9,0,1.9,4.2,3,8,1,0,0,0
CLI00107,Essencial,Anual,Cartão,Busca orgânica,10,47.4,5,1.6,23.0,6,7,1,0,0,0
CLI00108,Essencial,Mensal,Cartão,Busca orgânica,45,49.9,0,6.4,5.5,4,8,0,0,1,0
CLI00109,Essencial,Mensal,Débito automático,Busca orgânica,38,44.91,10,8.9,43.3,8,6,1,1,1,0
CLI00110,Premium,Mensal,Cartão,Mídia paga,22,119.9,0,12.2,27.7,6,6,4,0,0,0
CLI00111,Essencial,Mensal,Cartão,Busca orgânica,47,39.92,20,4.0,16.8,5,9,1,1,0,0
CLI00112,Essencial,Mensal,Cartão,Parceiro,11,49.9,0,1.4,6.5,5,10,0,1,1,0
CLI00113,Essencial,Anual,Débito automático,Busca orgânica,44,44.91,10,3.0,4.4,6,5,0,0,0,0
CLI00114,Plus,Mensal,Cartão,Mídia paga,12,63.92,20,7.5,22.3,12,8,2,0,1,0
CLI00115,Essencial,Mensal,Cartão,Mídia paga,15,44.91,10,10.0,21.5,1,8,1,0,0,0
CLI00116,Premium,Mensal,Débito automático,Mídia paga,56,119.9,0,13.4,6.6,3,8,2,0,0,0
CLI00117,Plus,Mensal,Cartão,Mídia paga,57,67.92,15,3.5,36.0,7,4,1,0,0,0
CLI00118,Plus,Anual,Débito automático,Indicação,36,79.9,0,3.8,14.4,4,10,0,0,1,0
CLI00119,Essencial,Mensal,Cartão,Busca orgânica,96,44.91,10,2.9,26.1,7,5,2,0,0,0
CLI00120,Plus,Mensal,Débito automático,Parceiro,75,71.91,10,7.2,14.6,11,10,0,0,0,0
CLI00121,Plus,Mensal,Cartão,Busca orgânica,22,79.9,0,2.5,6.5,4,8,0,1,0,0
CLI00122,Plus,Anual,Cartão,Mídia paga,12,67.92,15,4.6,67.4,11,7,0,0,0,0
CLI00123,Essencial,Mensal,Cartão,Mídia paga,45,47.4,5,4.1,7.3,5,5,0,2,0,0
CLI00124,Essencial,Anual,Boleto,Busca orgânica,30,42.42,15,4.8,13.5,8,5,1,1,0,0
CLI00125,Essencial,Anual,Débito automático,Mídia paga,39,49.9,0,3.4,14.5,5,9,1,0,0,0
CLI00126,Plus,Anual,Cartão,Busca orgânica,42,67.92,15,4.5,14.1,6,8,0,0,0,0
CLI00127,Essencial,Mensal,Cartão,Indicação,14,47.4,5,5.1,7.3,8,10,1,0,0,0
CLI00128,Essencial,Anual,Cartão,Mídia paga,11,47.4,5,4.1,1.9,3,9,0,0,1,0
CLI00129,Essencial,Mensal,Cartão,Mídia paga,40,49.9,0,5.8,40.7,6,5,1,1,0,0
CLI00130,Plus,Anual,Cartão,Busca orgânica,39,79.9,0,3.5,7.1,2,10,2,0,0,0
CLI00131,Essencial,Mensal,Débito automático,Indicação,8,49.9,0,10.3,33.6,10,7,0,3,0,0
CLI00132,Premium,Mensal,Cartão,Mídia paga,15,113.9,5,12.2,24.1,4,10,1,1,0,0
CLI00133,Plus,Mensal,Débito automático,Mídia paga,11,71.91,10,9.1,18.1,5,7,1,0,0,0
CLI00134,Essencial,Anual,Cartão,Mídia paga,27,44.91,10,2.6,28.9,9,7,2,1,0,1
CLI00135,Plus,Anual,Débito automático,Busca orgânica,25,79.9,0,2.4,15.1,6,7,0,1,0,0
CLI00136,Essencial,Mensal,Cartão,Busca orgânica,5,39.92,20,1.2,15.1,5,7,0,0,0,0
CLI00137,Premium,Mensal,Cartão,Busca orgânica,28,119.9,0,26.0,52.3,9,7,1,0,0,0
CLI00138,Plus,Anual,Débito automático,Indicação,32,71.91,10,10.0,26.5,7,10,0,0,0,0
CLI00139,Plus,Anual,Cartão,Mídia paga,33,71.91,10,3.5,46.0,11,6,3,0,0,0
CLI00140,Essencial,Anual,Débito automático,Indicação,11,47.4,5,1.6,12.3,3,8,0,1,0,0
CLI00141,Plus,Mensal,Débito automático,Busca orgânica,25,75.9,5,6.9,42.4,11,9,0,0,0,0
CLI00142,Plus,Anual,Boleto,Mídia paga,62,79.9,0,4.2,50.2,15,5,1,1,1,0
CLI00143,Premium,Anual,Débito automático,Busca orgânica,15,113.9,5,10.1,6.5,5,10,1,0,0,0
CLI00144,Plus,Mensal,Cartão,Mídia paga,59,63.92,20,3.3,7.1,3,8,0,0,0,0
CLI00145,Plus,Mensal,Cartão,Indicação,18,79.9,0,5.5,54.9,13,6,1,0,0,0
CLI00146,Essencial,Mensal,Débito automático,Busca orgânica,52,42.42,15,5.2,27.1,5,6,1,0,0,0
CLI00147,Essencial,Mensal,Cartão,Mídia paga,39,44.91,10,10.3,9.9,4,8,0,1,0,0
CLI00148,Plus,Anual,Pix,Parceiro,27,67.92,15,0.1,48.5,9,7,0,1,0,0
CLI00149,Essencial,Mensal,Cartão,Mídia paga,34,49.9,0,4.3,4.9,5,10,1,0,0,0
CLI00150,Essencial,Mensal,Débito automático,Busca orgânica,3,44.91,10,2.0,36.8,6,9,1,0,0,0
CLI00151,Premium,Mensal,Cartão,Indicação,48,119.9,0,0.5,13.6,2,5,2,0,0,0
CLI00152,Premium,Anual,Cartão,Mídia paga,9,113.9,5,5.9,22.7,7,7,2,1,1,0
CLI00153,Essencial,Anual,Boleto,Mídia paga,65,44.91,10,3.8,18.9,6,7,1,0,1,0
CLI00154,Plus,Mensal,Débito automático,Indicação,35,79.9,0,6.9,78.6,10,8,0,1,1,1
CLI00155,Essencial,Anual,Cartão,Busca orgânica,11,39.92,20,9.7,22.3,7,7,1,0,0,0
CLI00156,Plus,Mensal,Cartão,Indicação,48,75.9,5,5.9,16.2,6,8,2,0,0,0
CLI00157,Essencial,Anual,Débito automático,Indicação,28,47.4,5,7.3,54.4,10,6,3,0,0,0
CLI00158,Plus,Anual,Cartão,Parceiro,41,67.92,15,7.8,12.5,8,8,0,0,1,0
CLI00159,Plus,Mensal,Pix,Busca orgânica,24,67.92,15,3.9,22.0,5,6,1,0,0,0
CLI00160,Plus,Anual,Débito automático,Busca orgânica,44,67.92,15,5.5,30.6,5,4,1,1,0,0
CLI00161,Essencial,Mensal,Cartão,Parceiro,16,44.91,10,7.5,62.4,15,6,1,0,0,1
CLI00162,Premium,Mensal,Cartão,Parceiro,20,107.91,10,1.8,18.9,8,8,3,2,0,0
CLI00163,Essencial,Mensal,Cartão,Parceiro,38,49.9,0,3.7,10.1,6,7,1,1,0,0
CLI00164,Essencial,Anual,Cartão,Mídia paga,66,44.91,10,1.2,16.4,5,6,1,1,0,0
CLI00165,Plus,Mensal,Pix,Parceiro,26,71.91,10,2.7,34.4,5,5,0,0,1,0
CLI00166,Essencial,Mensal,Cartão,Indicação,46,49.9,0,7.8,33.9,4,8,1,1,0,0
CLI00167,Premium,Mensal,Boleto,Mídia paga,43,95.92,20,3.1,22.0,10,6,1,0,0,0
CLI00168,Plus,Anual,Débito automático,Busca orgânica,63,75.9,5,1.3,11.6,5,8,1,0,0,0
CLI00169,Essencial,Mensal,Cartão,Indicação,12,44.91,10,3.5,11.9,4,6,0,1,1,0
CLI00170,Premium,Mensal,Pix,Indicação,34,107.91,10,9.2,2.7,3,9,2,0,0,0
CLI00171,Essencial,Mensal,Cartão,Indicação,32,49.9,0,0.7,26.3,6,10,0,0,0,0
CLI00172,Plus,Anual,Cartão,Mídia paga,34,75.9,5,15.1,8.4,3,6,1,0,0,1
CLI00173,Essencial,Mensal,Pix,Parceiro,18,44.91,10,2.9,42.3,7,6,1,0,0,0
CLI00174,Premium,Mensal,Cartão,Indicação,27,95.92,20,9.9,54.7,12,5,4,0,0,1
CLI00175,Essencial,Anual,Cartão,Mídia paga,52,49.9,0,1.7,43.0,7,6,2,1,0,0
CLI00176,Essencial,Mensal,Cartão,Mídia paga,13,44.91,10,5.0,48.9,10,6,0,1,0,0
CLI00177,Essencial,Mensal,Cartão,Indicação,38,47.4,5,3.2,5.3,3,8,0,2,1,0
CLI00178,Premium,Anual,Débito automático,Mídia paga,23,113.9,5,7.8,36.6,7,5,2,0,0,1
CLI00179,Premium,Mensal,Boleto,Indicação,32,119.9,0,10.9,18.7,3,6,2,1,1,0
CLI00180,Plus,Mensal,Débito automático,Busca orgânica,22,75.9,5,7.2,3.0,5,7,0,0,0,0
CLI00181,Premium,Mensal,Boleto,Busca orgânica,51,119.9,0,2.7,39.5,5,6,0,3,0,0
CLI00182,Premium,Anual,Pix,Parceiro,11,113.9,5,2.2,18.4,9,8,1,0,0,0
CLI00183,Plus,Anual,Cartão,Indicação,33,75.9,5,7.9,48.4,7,7,0,0,0,0
CLI00184,Essencial,Mensal,Débito automático,Busca orgânica,54,49.9,0,2.8,4.3,5,8,1,0,0,0
CLI00185,Plus,Mensal,Cartão,Mídia paga,34,63.92,20,5.6,46.7,4,5,2,0,0,0
CLI00186,Plus,Mensal,Cartão,Mídia paga,15,71.91,10,5.8,70.9,9,6,1,0,0,0
CLI00187,Essencial,Mensal,Boleto,Parceiro,14,39.92,20,6.5,8.8,8,5,3,1,0,0
CLI00188,Essencial,Mensal,Débito automático,Busca orgânica,32,44.91,10,3.0,44.1,8,7,1,0,0,0
CLI00189,Plus,Mensal,Boleto,Mídia paga,6,75.9,5,6.1,9.0,5,7,1,1,1,0
CLI00190,Essencial,Mensal,Cartão,Mídia paga,39,44.91,10,3.5,33.5,7,7,0,1,0,0
CLI00191,Premium,Anual,Débito automático,Indicação,8,119.9,0,3.4,15.5,5,10,2,0,1,0
CLI00192,Essencial,Mensal,Cartão,Mídia paga,11,49.9,0,3.4,4.1,3,6,0,0,0,0
CLI00193,Essencial,Mensal,Cartão,Busca orgânica,74,47.4,5,1.9,54.6,7,6,2,0,0,1
CLI00194,Premium,Mensal,Boleto,Mídia paga,65,119.9,0,8.1,14.8,3,8,0,1,0,0
CLI00195,Essencial,Mensal,Cartão,Busca orgânica,20,44.91,10,4.1,29.2,5,5,2,1,1,0
CLI00196,Essencial,Mensal,Débito automático,Busca orgânica,57,49.9,0,1.6,0.7,2,7,3,0,0,0
CLI00197,Plus,Mensal,Débito automático,Parceiro,15,79.9,0,0.6,36.9,7,7,1,0,1,0
CLI00198,Premium,Mensal,Débito automático,Parceiro,39,107.91,10,6.5,7.1,2,8,0,0,0,0
CLI00199,Essencial,Mensal,Cartão,Busca orgânica,60,47.4,5,3.9,66.1,17,7,2,4,0,1
CLI00200,Essencial,Anual,Cartão,Mídia paga,17,49.9,0,2.4,76.4,12,7,0,0,1,0
CLI00201,Plus,Anual,Boleto,Parceiro,8,79.9,0,11.5,5.4,5,7,1,1,0,0
CLI00202,Premium,Anual,Pix,Indicação,30,107.91,10,7.6,12.4,6,7,3,1,0,0
CLI00203,Plus,Mensal,Pix,Mídia paga,16,71.91,10,3.0,13.3,3,5,2,1,0,0
CLI00204,Essencial,Anual,Cartão,Busca orgânica,17,49.9,0,1.5,6.2,3,7,1,0,1,0
CLI00205,Essencial,Mensal,Cartão,Mídia paga,11,44.91,10,1.6,36.9,8,8,2,1,1,0
CLI00206,Essencial,Mensal,Boleto,Indicação,2,44.91,10,1.7,53.9,11,6,0,0,1,0
CLI00207,Essencial,Mensal,Pix,Mídia paga,18,44.91,10,1.1,31.7,5,4,0,0,0,0
CLI00208,Plus,Mensal,Débito automático,Indicação,20,79.9,0,7.7,32.9,9,5,0,1,0,0
CLI00209,Essencial,Mensal,Cartão,Busca orgânica,15,39.92,20,6.0,38.4,5,7,0,0,0,1
CLI00210,Plus,Mensal,Cartão,Mídia paga,11,71.91,10,10.7,23.5,7,9,1,0,0,0
CLI00211,Plus,Anual,Pix,Indicação,49,79.9,0,1.4,68.2,15,6,0,0,0,0
CLI00212,Plus,Mensal,Débito automático,Parceiro,34,67.92,15,10.6,18.2,8,7,1,1,0,0
CLI00213,Essencial,Anual,Cartão,Indicação,9,44.91,10,2.9,3.5,3,8,0,1,1,0
CLI00214,Plus,Anual,Cartão,Busca orgânica,31,79.9,0,6.2,11.2,3,6,1,2,0,0
CLI00215,Plus,Mensal,Pix,Mídia paga,13,67.92,15,7.1,21.7,3,8,0,0,0,0
CLI00216,Plus,Mensal,Cartão,Indicação,46,71.91,10,4.7,16.3,4,8,0,0,1,0
CLI00217,Essencial,Mensal,Cartão,Mídia paga,15,49.9,0,7.5,27.5,8,7,2,2,1,1
CLI00218,Essencial,Mensal,Pix,Busca orgânica,52,47.4,5,9.8,54.6,9,6,2,1,1,0
CLI00219,Premium,Anual,Cartão,Mídia paga,49,113.9,5,11.7,18.0,6,8,1,1,0,0
CLI00220,Essencial,Anual,Pix,Mídia paga,37,49.9,0,5.9,15.8,3,7,0,0,0,0
CLI00221,Essencial,Anual,Cartão,Busca orgânica,15,47.4,5,6.9,58.5,8,6,1,0,0,0
CLI00222,Plus,Mensal,Débito automático,Busca orgânica,22,79.9,0,4.6,25.6,6,7,2,0,0,0
CLI00223,Plus,Anual,Débito automático,Indicação,24,79.9,0,2.5,30.0,8,6,3,0,0,0
CLI00224,Premium,Anual,Débito automático,Parceiro,29,119.9,0,0.8,32.6,15,7,2,0,0,0
CLI00225,Essencial,Mensal,Débito automático,Busca orgânica,55,49.9,0,3.8,40.9,3,4,2,0,0,0
CLI00226,Premium,Mensal,Pix,Busca orgânica,20,107.91,10,4.9,2.3,7,7,0,0,1,0
CLI00227,Essencial,Mensal,Cartão,Indicação,45,49.9,0,1.9,36.7,11,8,0,1,0,0
CLI00228,Plus,Mensal,Cartão,Mídia paga,10,79.9,0,1.0,11.3,4,8,2,0,1,0
CLI00229,Plus,Anual,Cartão,Busca orgânica,16,79.9,0,1.6,6.6,4,8,1,0,0,0
CLI00230,Essencial,Mensal,Débito automático,Indicação,14,44.91,10,7.2,32.6,6,7,0,0,1,0
CLI00231,Essencial,Mensal,Cartão,Parceiro,46,47.4,5,6.4,55.8,11,6,1,0,0,0
CLI00232,Essencial,Anual,Cartão,Parceiro,61,44.91,10,8.8,52.0,15,5,1,1,0,0
CLI00233,Premium,Mensal,Pix,Parceiro,18,119.9,0,1.7,24.1,3,7,4,1,0,0
CLI00234,Plus,Mensal,Débito automático,Mídia paga,14,71.91,10,3.5,17.3,8,9,1,0,1,0
CLI00235,Premium,Anual,Cartão,Busca orgânica,23,95.92,20,4.2,29.0,8,7,3,1,0,0
CLI00236,Plus,Anual,Cartão,Indicação,13,71.91,10,6.9,31.4,3,7,0,0,0,0
CLI00237,Plus,Anual,Pix,Busca orgânica,18,71.91,10,2.9,48.6,11,6,4,0,0,0
CLI00238,Plus,Mensal,Boleto,Mídia paga,23,79.9,0,2.6,34.9,10,7,1,0,0,1
CLI00239,Essencial,Anual,Débito automático,Indicação,23,47.4,5,1.9,15.8,11,8,0,0,0,0
CLI00240,Essencial,Anual,Cartão,Busca orgânica,7,49.9,0,3.2,8.7,5,10,0,2,0,0
CLI00241,Premium,Anual,Débito automático,Mídia paga,18,107.91,10,7.5,52.6,8,7,0,0,0,0
CLI00242,Plus,Mensal,Cartão,Mídia paga,71,71.91,10,4.0,46.2,9,4,0,1,1,0
CLI00243,Essencial,Mensal,Cartão,Indicação,8,49.9,0,2.3,55.1,12,8,2,0,0,1
CLI00244,Plus,Anual,Cartão,Mídia paga,29,71.91,10,10.4,18.8,6,9,0,1,0,0
CLI00245,Plus,Anual,Cartão,Busca orgânica,27,75.9,5,2.0,12.8,4,8,0,0,0,0
CLI00246,Premium,Mensal,Pix,Mídia paga,84,95.92,20,4.4,2.1,5,9,1,0,0,0
CLI00247,Plus,Mensal,Pix,Parceiro,28,63.92,20,6.1,21.4,7,6,1,0,0,0
CLI00248,Essencial,Anual,Débito automático,Indicação,67,49.9,0,3.3,32.3,5,6,1,0,0,0
CLI00249,Essencial,Mensal,Pix,Parceiro,27,42.42,15,5.3,18.8,6,7,0,0,0,0
